Reference,Entry in reference,Analysis description ,# of effect sizes,tau,tau^2,Q,I^2,Type of ES,Test for publication bias,Publication bias? ,Publication bias recoded
Mathieu & Zajac 1990,1,age,41,0.103,0.010609,,,Weighted corrected Pearson's r,NA,NA,NA
Mathieu & Zajac 1990,2,sex,14,0.165,0.027225,,,Weighted corrected Pearson's r,NA,NA,NA
Mathieu & Zajac 1990,3,education,22,0.137,0.018769,,,Weighted corrected Pearson's r,NA,NA,NA
Mathieu & Zajac 1990,4,marital status,6,0.02,0.0004,,,Weighted corrected Pearson's r,NA,NA,NA
Mathieu & Zajac 1990,5,position tenure,8,0.076,0.005776,,,Weighted corrected Pearson's r,NA,NA,NA
Mathieu & Zajac 1990,6,organizational tenure,38,0.113,0.012769,,,Weighted corrected Pearson's r,NA,NA,NA
Mathieu & Zajac 1990,7,perceived personal competence,5,0.072,0.005184,,,Weighted corrected Pearson's r,NA,NA,NA
Mathieu & Zajac 1990,8,ability,3,,,,,Weighted corrected Pearson's r,NA,NA,NA
Mathieu & Zajac 1990,9,salary,7,0.036,0.001296,,,Weighted corrected Pearson's r,NA,NA,NA
Mathieu & Zajac 1990,10,protestant work ethic,7,0.195,0.038025,,,Weighted corrected Pearson's r,NA,NA,NA
Mathieu & Zajac 1990,11,job level,13,0.161,0.025921,,,Weighted corrected Pearson's r,NA,NA,NA
Mathieu & Zajac 1990,12,skill variety,6,0.099,0.009801,,,Weighted corrected Pearson's r,NA,NA,NA
Mathieu & Zajac 1990,13,task autonomy,3,0.201,0.040401,,,Weighted corrected Pearson's r,NA,NA,NA
Mathieu & Zajac 1990,14,challenge,3,0.206,0.042436,,,Weighted corrected Pearson's r,NA,NA,NA
Mathieu & Zajac 1990,15,job scope,5,,,,,Weighted corrected Pearson's r,NA,NA,NA
Mathieu & Zajac 1990,16,group cohesiveness,3,0.281,0.078961,,,Weighted corrected Pearson's r,NA,NA,NA
Mathieu & Zajac 1990,17,task interdependence,4,0.069,0.004761,,,Weighted corrected Pearson's r,NA,NA,NA
Mathieu & Zajac 1990,18,leader initiating structure,14,0.21,0.0441,,,Weighted corrected Pearson's r,NA,NA,NA
Mathieu & Zajac 1990,19,leader consideration,12,0.178,0.031684,,,Weighted corrected Pearson's r,NA,NA,NA
Mathieu & Zajac 1990,20,leader communication,4,0.053,0.002809,,,Weighted corrected Pearson's r,NA,NA,NA
Mathieu & Zajac 1990,21,participative leadership,3,,,,,Weighted corrected Pearson's r,NA,NA,NA
Mathieu & Zajac 1990,22,organizational size,3,0.108,0.011664,,,Weighted corrected Pearson's r,NA,NA,NA
Mathieu & Zajac 1990,23,organizational centralization,3,0.234,0.054756,,,Weighted corrected Pearson's r,NA,NA,NA
Mathieu & Zajac 1990,24,role ambiguity,21,0.287,0.082369,,,Weighted corrected Pearson's r,NA,NA,NA
Mathieu & Zajac 1990,25,role conflict,24,0.222,0.049284,,,Weighted corrected Pearson's r,NA,NA,NA
Mathieu & Zajac 1990,26,role overload,5,0.136,0.018496,,,Weighted corrected Pearson's r,NA,NA,NA
Mathieu & Zajac 1990,27,motivation (overall),5,,,,,Weighted corrected Pearson's r,NA,NA,NA
Mathieu & Zajac 1990,28,motivation (internal),5,0.182,0.033124,,,Weighted corrected Pearson's r,NA,NA,NA
Mathieu & Zajac 1990,29,job involvement,20,0.19,0.0361,,,Weighted corrected Pearson's r,NA,NA,NA
Mathieu & Zajac 1990,30,stress,16,0.136,0.018496,,,Weighted corrected Pearson's r,NA,NA,NA
Mathieu & Zajac 1990,31,occupational commitment,22,0.243,0.059049,,,Weighted corrected Pearson's r,NA,NA,NA
Mathieu & Zajac 1990,32,union commitment,5,0.115,0.013225,,,Weighted corrected Pearson's r,NA,NA,NA
Mathieu & Zajac 1990,33,overall job satisfaction,43,0.241,0.058081,,,Weighted corrected Pearson's r,NA,NA,NA
Mathieu & Zajac 1990,34,job performance: others' ratings,10,0.089,0.007921,,,Weighted corrected Pearson's r,NA,NA,NA
Mathieu & Zajac 1990,35,job performance: output measure,6,0.091,0.008281,,,Weighted corrected Pearson's r,NA,NA,NA
Mathieu & Zajac 1990,36,perceived job alternatives,7,0.225,0.050625,,,Weighted corrected Pearson's r,NA,NA,NA
Mathieu & Zajac 1990,37,intention to search,5,0.177,0.031329,,,Weighted corrected Pearson's r,NA,NA,NA
Mathieu & Zajac 1990,38,intention to leave,36,0.181,0.032761,,,Weighted corrected Pearson's r,NA,NA,NA
Mathieu & Zajac 1990,39,attendance,23,0.024,0.000576,,,Weighted corrected Pearson's r,NA,NA,NA
Mathieu & Zajac 1990,40,lateness,6,0.059,0.003481,,,Weighted corrected Pearson's r,NA,NA,NA
Mathieu & Zajac 1990,41,turnover,26,0.138,0.019044,,,Weighted corrected Pearson's r,NA,NA,NA
