Study name,Comparison,Outcome,Time point,Std diff in means                                                                          ,Group-A Sample size ,Group-B Sample size ,Effect direction,Hedges's g,Std Err,treated,age,dose,random/nonr,learning status,outcome test ,pretest pattern control group,type of training,sample age control group,sample age training group,Participants,training dose,program,gray,follow up test,design
"Stepankova,  et al. 2013 comp 2",Comparison 2 (E. 20 weeks vs Control),verbal working memory2,posttest,0.5150,20,25,1,0.5060,0.2995,untreated,older adults,small,r,u,verbal WM LNS,Blank,n back,68.15,68.08,"ere serious medical illness that prevented unrestricted participa- tion in the study, neurological disorders (head trauma with loss of consciousness, epilepsy, uncorrected sensory impairment, apha- sia), a current episode of a psychiatric disorder, or diagnosed or suspected organic mental disorder (especially dementia). ",Low frequency exp: 2 times a week for total 9-12 sessions (200-250 min total)  High Frequency exp: 4 times a week for total of 18-23 sessions (450-500 min total),Computerized WM. N-back verbal. ,published,Blank,prettest/posttest randomized controlled trial design 
Stephenson & Halpern 2013 comp 1,Comparison 1 (Dual vs P Control),nBETA-III. Matrix Reasoning subtest.,posttest,1.1944,28,26,1,1.1771,0.2913,untreated,adults,small,r,u,Beta-III Matrix reasoning,Blank,n back,22.48,22.48,Recruited from a highly selective liberal arts college in California and a state university.,5 days a week  (M-F) for 4 wks  approx. 20 min a day. Pretest & Posttest times ranged 70-90 min  (for each time),"BrainTwister 1.0.2 designed by Buschkuehl, Jaeggi, Kobel, & Perrig (2008). Dual n-back task, Visual n-back, Auditory n-back, or Spatial matrix span, ",published,Blank,"Random assignment.  2 (participants' sex; women & men) x 2 (repeated testing; prettest & posttest) x 5(type of training; dual n-back, visual n-back, auditory n-back, spatial matrix span, and control) repeated measures mixed design"
Stephenson & Halpern 2013 comp 1,Comparison 1 (Dual vs P Control),nCattell,posttest,0.1819,28,26,1,0.1793,0.2690,untreated,adults,small,r,u,Cattell ,Blank,n back,22.48,22.48,Recruited from a highly selective liberal arts college in California and a state university.,5 days a week  (M-F) for 4 wks  approx. 20 min a day. Pretest & Posttest times ranged 70-90 min  (for each time),"BrainTwister 1.0.2 designed by Buschkuehl, Jaeggi, Kobel, & Perrig (2008). Dual n-back task, Visual n-back, Auditory n-back, or Spatial matrix span, ",published,Blank,"Random assignment.  2 (participants' sex; women & men) x 2 (repeated testing; prettest & posttest) x 5(type of training; dual n-back, visual n-back, auditory n-back, spatial matrix span, and control) repeated measures mixed design"
Stephenson & Halpern 2013 comp 1,Comparison 1 (Dual vs P Control),nKit of Factor-Referenced Cognitive Tests. Paper Folding,posttest,0.5321,28,26,1,0.5244,0.2731,untreated,adults,small,r,u,Paper folding,Blank,n back,22.48,22.48,Recruited from a highly selective liberal arts college in California and a state university.,5 days a week  (M-F) for 4 wks  approx. 20 min a day. Pretest & Posttest times ranged 70-90 min  (for each time),"BrainTwister 1.0.2 designed by Buschkuehl, Jaeggi, Kobel, & Perrig (2008). Dual n-back task, Visual n-back, Auditory n-back, or Spatial matrix span, ",published,Blank,"Random assignment.  2 (participants' sex; women & men) x 2 (repeated testing; prettest & posttest) x 5(type of training; dual n-back, visual n-back, auditory n-back, spatial matrix span, and control) repeated measures mixed design"
Stephenson & Halpern 2013 comp 1,Comparison 1 (Dual vs P Control),nMental Rotation,posttest,-0.0257,28,26,1,-0.0253,0.2684,untreated,adults,small,r,u,Mental rotation,Blank,n back,22.48,22.48,Recruited from a highly selective liberal arts college in California and a state university.,5 days a week  (M-F) for 4 wks  approx. 20 min a day. Pretest & Posttest times ranged 70-90 min  (for each time),"BrainTwister 1.0.2 designed by Buschkuehl, Jaeggi, Kobel, & Perrig (2008). Dual n-back task, Visual n-back, Auditory n-back, or Spatial matrix span, ",published,Blank,"Random assignment.  2 (participants' sex; women & men) x 2 (repeated testing; prettest & posttest) x 5(type of training; dual n-back, visual n-back, auditory n-back, spatial matrix span, and control) repeated measures mixed design"
Stephenson & Halpern 2013 comp 1,Comparison 1 (Dual vs P Control),nRAPM,posttest,0.7174,28,26,1,0.7070,0.2769,untreated,adults,small,r,u,Raven advanced,Blank,n back,22.48,22.48,Recruited from a highly selective liberal arts college in California and a state university.,5 days a week  (M-F) for 4 wks  approx. 20 min a day. Pretest & Posttest times ranged 70-90 min  (for each time),"BrainTwister 1.0.2 designed by Buschkuehl, Jaeggi, Kobel, & Perrig (2008). Dual n-back task, Visual n-back, Auditory n-back, or Spatial matrix span, ",published,Blank,"Random assignment.  2 (participants' sex; women & men) x 2 (repeated testing; prettest & posttest) x 5(type of training; dual n-back, visual n-back, auditory n-back, spatial matrix span, and control) repeated measures mixed design"
Stephenson & Halpern 2013 comp 1,Comparison 1 (Dual vs P Control),nWASI. Matrix Reasoning subtest.,posttest,0.4011,28,26,1,0.3953,0.2711,untreated,adults,small,r,u,WASI Matrix reasoning,Blank,n back,22.48,22.48,Recruited from a highly selective liberal arts college in California and a state university.,5 days a week  (M-F) for 4 wks  approx. 20 min a day. Pretest & Posttest times ranged 70-90 min  (for each time),"BrainTwister 1.0.2 designed by Buschkuehl, Jaeggi, Kobel, & Perrig (2008). Dual n-back task, Visual n-back, Auditory n-back, or Spatial matrix span, ",published,Blank,"Random assignment.  2 (participants' sex; women & men) x 2 (repeated testing; prettest & posttest) x 5(type of training; dual n-back, visual n-back, auditory n-back, spatial matrix span, and control) repeated measures mixed design"
Stephenson & Halpern 2013 comp 1,Comparison 1 (Dual vs P Control),verbal reasoning,posttest,0.0776,28,26,1,0.0765,0.2685,untreated,adults,small,r,u,Extended range vocabulary,Blank,n back,22.48,22.48,Recruited from a highly selective liberal arts college in California and a state university.,5 days a week  (M-F) for 4 wks  approx. 20 min a day. Pretest & Posttest times ranged 70-90 min  (for each time),"BrainTwister 1.0.2 designed by Buschkuehl, Jaeggi, Kobel, & Perrig (2008). Dual n-back task, Visual n-back, Auditory n-back, or Spatial matrix span, ",published,Blank,"Random assignment.  2 (participants' sex; women & men) x 2 (repeated testing; prettest & posttest) x 5(type of training; dual n-back, visual n-back, auditory n-back, spatial matrix span, and control) repeated measures mixed design"
Stephenson & Halpern 2013 comp 2,Comparison 2 (Visual vs P Control),nonverbal reasoning 1,posttest,0.6951,29,26,1,0.6852,0.2741,untreated,adults,small,r,u,Beta-III Matrix reasoning,Blank,n back,22.48,22.48,Recruited from a highly selective liberal arts college in California and a state university.,5 days a week  (M-F) for 4 wks  approx. 20 min a day. Pretest & Posttest times ranged 70-90 min  (for each time),"BrainTwister 1.0.2 designed by Buschkuehl, Jaeggi, Kobel, & Perrig (2008). Dual n-back task, Visual n-back, Auditory n-back, or Spatial matrix span, ",published,Blank,"Random assignment.  2 (participants' sex; women & men) x 2 (repeated testing; prettest & posttest) x 5(type of training; dual n-back, visual n-back, auditory n-back, spatial matrix span, and control) repeated measures mixed design"
Stephenson & Halpern 2013 comp 2,Comparison 2 (Visual vs P Control),nonverbal reasoning 2,posttest,0.1804,29,26,1,0.1778,0.2668,untreated,adults,small,r,u,Cattell ,Blank,n back,22.48,22.48,Recruited from a highly selective liberal arts college in California and a state university.,5 days a week  (M-F) for 4 wks  approx. 20 min a day. Pretest & Posttest times ranged 70-90 min  (for each time),"BrainTwister 1.0.2 designed by Buschkuehl, Jaeggi, Kobel, & Perrig (2008). Dual n-back task, Visual n-back, Auditory n-back, or Spatial matrix span, ",published,Blank,"Random assignment.  2 (participants' sex; women & men) x 2 (repeated testing; prettest & posttest) x 5(type of training; dual n-back, visual n-back, auditory n-back, spatial matrix span, and control) repeated measures mixed design"
Stephenson & Halpern 2013 comp 2,Comparison 2 (Visual vs P Control),nonverbal reasoning 3,posttest,0.4288,29,26,1,0.4227,0.2693,untreated,adults,small,r,u,Paper folding,Blank,n back,22.48,22.48,Recruited from a highly selective liberal arts college in California and a state university.,5 days a week  (M-F) for 4 wks  approx. 20 min a day. Pretest & Posttest times ranged 70-90 min  (for each time),"BrainTwister 1.0.2 designed by Buschkuehl, Jaeggi, Kobel, & Perrig (2008). Dual n-back task, Visual n-back, Auditory n-back, or Spatial matrix span, ",published,Blank,"Random assignment.  2 (participants' sex; women & men) x 2 (repeated testing; prettest & posttest) x 5(type of training; dual n-back, visual n-back, auditory n-back, spatial matrix span, and control) repeated measures mixed design"
Stephenson & Halpern 2013 comp 2,Comparison 2 (Visual vs P Control),nonverbal reasoning 4,posttest,-0.0995,29,26,1,-0.0981,0.2664,untreated,adults,small,r,u,Mental rotation,Blank,n back,22.48,22.48,Recruited from a highly selective liberal arts college in California and a state university.,5 days a week  (M-F) for 4 wks  approx. 20 min a day. Pretest & Posttest times ranged 70-90 min  (for each time),"BrainTwister 1.0.2 designed by Buschkuehl, Jaeggi, Kobel, & Perrig (2008). Dual n-back task, Visual n-back, Auditory n-back, or Spatial matrix span, ",published,Blank,"Random assignment.  2 (participants' sex; women & men) x 2 (repeated testing; prettest & posttest) x 5(type of training; dual n-back, visual n-back, auditory n-back, spatial matrix span, and control) repeated measures mixed design"
Stephenson & Halpern 2013 comp 2,Comparison 2 (Visual vs P Control),nonverbal reasoning 5,posttest,0.4636,29,26,1,0.4570,0.2698,untreated,adults,small,r,u,Raven advanced,Blank,n back,22.48,22.48,Recruited from a highly selective liberal arts college in California and a state university.,5 days a week  (M-F) for 4 wks  approx. 20 min a day. Pretest & Posttest times ranged 70-90 min  (for each time),"BrainTwister 1.0.2 designed by Buschkuehl, Jaeggi, Kobel, & Perrig (2008). Dual n-back task, Visual n-back, Auditory n-back, or Spatial matrix span, ",published,Blank,"Random assignment.  2 (participants' sex; women & men) x 2 (repeated testing; prettest & posttest) x 5(type of training; dual n-back, visual n-back, auditory n-back, spatial matrix span, and control) repeated measures mixed design"
Stephenson & Halpern 2013 comp 2,Comparison 2 (Visual vs P Control),nonverbal reasoning 6,posttest,0.3791,29,26,1,0.3737,0.2686,untreated,adults,small,r,u,WASI Matrix reasoning,Blank,n back,22.48,22.48,Recruited from a highly selective liberal arts college in California and a state university.,5 days a week  (M-F) for 4 wks  approx. 20 min a day. Pretest & Posttest times ranged 70-90 min  (for each time),"BrainTwister 1.0.2 designed by Buschkuehl, Jaeggi, Kobel, & Perrig (2008). Dual n-back task, Visual n-back, Auditory n-back, or Spatial matrix span, ",published,Blank,"Random assignment.  2 (participants' sex; women & men) x 2 (repeated testing; prettest & posttest) x 5(type of training; dual n-back, visual n-back, auditory n-back, spatial matrix span, and control) repeated measures mixed design"
Stephenson & Halpern 2013 comp 2,Comparison 2 (Visual vs P Control),verbal reasoning,posttest,0.0000,29,26,1,0.0000,0.2662,untreated,adults,small,r,u,Extended range vocabulary,Blank,n back,22.48,22.48,Recruited from a highly selective liberal arts college in California and a state university.,5 days a week  (M-F) for 4 wks  approx. 20 min a day. Pretest & Posttest times ranged 70-90 min  (for each time),"BrainTwister 1.0.2 designed by Buschkuehl, Jaeggi, Kobel, & Perrig (2008). Dual n-back task, Visual n-back, Auditory n-back, or Spatial matrix span, ",published,Blank,"Random assignment.  2 (participants' sex; women & men) x 2 (repeated testing; prettest & posttest) x 5(type of training; dual n-back, visual n-back, auditory n-back, spatial matrix span, and control) repeated measures mixed design"
Stephenson & Halpern 2013 comp 3,Comparison 3 (Auditory vs P Control),nonverbal reasoning 1,posttest,0.3760,25,26,1,0.3702,0.2782,untreated,adults,small,r,u,Beta-III Matrix reasoning,Blank,n back,22.48,22.48,Recruited from a highly selective liberal arts college in California and a state university.,5 days a week  (M-F) for 4 wks  approx. 20 min a day. Pretest & Posttest times ranged 70-90 min  (for each time),"BrainTwister 1.0.2 designed by Buschkuehl, Jaeggi, Kobel, & Perrig (2008). Dual n-back task, Visual n-back, Auditory n-back, or Spatial matrix span, ",published,Blank,"Random assignment.  2 (participants' sex; women & men) x 2 (repeated testing; prettest & posttest) x 5(type of training; dual n-back, visual n-back, auditory n-back, spatial matrix span, and control) repeated measures mixed design"
Stephenson & Halpern 2013 comp 3,Comparison 3 (Auditory vs P Control),nonverbal reasoning 2,posttest,0.0658,25,26,1,0.0648,0.2759,untreated,adults,small,r,u,Cattell ,Blank,n back,22.48,22.48,Recruited from a highly selective liberal arts college in California and a state university.,5 days a week  (M-F) for 4 wks  approx. 20 min a day. Pretest & Posttest times ranged 70-90 min  (for each time),"BrainTwister 1.0.2 designed by Buschkuehl, Jaeggi, Kobel, & Perrig (2008). Dual n-back task, Visual n-back, Auditory n-back, or Spatial matrix span, ",published,Blank,"Random assignment.  2 (participants' sex; women & men) x 2 (repeated testing; prettest & posttest) x 5(type of training; dual n-back, visual n-back, auditory n-back, spatial matrix span, and control) repeated measures mixed design"
Stephenson & Halpern 2013 comp 3,Comparison 3 (Auditory vs P Control),nonverbal reasoning 3,posttest,0.1799,25,26,1,0.1771,0.2764,untreated,adults,small,r,u,Paper folding,Blank,n back,22.48,22.48,Recruited from a highly selective liberal arts college in California and a state university.,5 days a week  (M-F) for 4 wks  approx. 20 min a day. Pretest & Posttest times ranged 70-90 min  (for each time),"BrainTwister 1.0.2 designed by Buschkuehl, Jaeggi, Kobel, & Perrig (2008). Dual n-back task, Visual n-back, Auditory n-back, or Spatial matrix span, ",published,Blank,"Random assignment.  2 (participants' sex; women & men) x 2 (repeated testing; prettest & posttest) x 5(type of training; dual n-back, visual n-back, auditory n-back, spatial matrix span, and control) repeated measures mixed design"
Stephenson & Halpern 2013 comp 3,Comparison 3 (Auditory vs P Control),nonverbal reasoning 4,posttest,0.1745,25,26,1,0.1718,0.2763,untreated,adults,small,r,u,Mental rotation,Blank,n back,22.48,22.48,Recruited from a highly selective liberal arts college in California and a state university.,5 days a week  (M-F) for 4 wks  approx. 20 min a day. Pretest & Posttest times ranged 70-90 min  (for each time),"BrainTwister 1.0.2 designed by Buschkuehl, Jaeggi, Kobel, & Perrig (2008). Dual n-back task, Visual n-back, Auditory n-back, or Spatial matrix span, ",published,Blank,"Random assignment.  2 (participants' sex; women & men) x 2 (repeated testing; prettest & posttest) x 5(type of training; dual n-back, visual n-back, auditory n-back, spatial matrix span, and control) repeated measures mixed design"
Stephenson & Halpern 2013 comp 3,Comparison 3 (Auditory vs P Control),nonverbal reasoning 5,posttest,0.3973,25,26,1,0.3912,0.2785,untreated,adults,small,r,u,Raven advanced,Blank,n back,22.48,22.48,Recruited from a highly selective liberal arts college in California and a state university.,5 days a week  (M-F) for 4 wks  approx. 20 min a day. Pretest & Posttest times ranged 70-90 min  (for each time),"BrainTwister 1.0.2 designed by Buschkuehl, Jaeggi, Kobel, & Perrig (2008). Dual n-back task, Visual n-back, Auditory n-back, or Spatial matrix span, ",published,Blank,"Random assignment.  2 (participants' sex; women & men) x 2 (repeated testing; prettest & posttest) x 5(type of training; dual n-back, visual n-back, auditory n-back, spatial matrix span, and control) repeated measures mixed design"
Stephenson & Halpern 2013 comp 3,Comparison 3 (Auditory vs P Control),nonverbal reasoning 6,posttest,0.2506,25,26,1,0.2467,0.2769,untreated,adults,small,r,u,WASI Matrix reasoning,Blank,n back,22.48,22.48,Recruited from a highly selective liberal arts college in California and a state university.,5 days a week  (M-F) for 4 wks  approx. 20 min a day. Pretest & Posttest times ranged 70-90 min  (for each time),"BrainTwister 1.0.2 designed by Buschkuehl, Jaeggi, Kobel, & Perrig (2008). Dual n-back task, Visual n-back, Auditory n-back, or Spatial matrix span, ",published,Blank,"Random assignment.  2 (participants' sex; women & men) x 2 (repeated testing; prettest & posttest) x 5(type of training; dual n-back, visual n-back, auditory n-back, spatial matrix span, and control) repeated measures mixed design"
Stephenson & Halpern 2013 comp 3,Comparison 3 (Auditory vs P Control),verbal reasoning,posttest,-0.0438,25,26,1,-0.0431,0.2758,untreated,adults,large,r,u,Extended range vocabulary,Blank,n back,22.48,22.48,Recruited from a highly selective liberal arts college in California and a state university.,5 days a week  (M-F) for 4 wks  approx. 20 min a day. Pretest & Posttest times ranged 70-90 min  (for each time),"BrainTwister 1.0.2 designed by Buschkuehl, Jaeggi, Kobel, & Perrig (2008). Dual n-back task, Visual n-back, Auditory n-back, or Spatial matrix span, ",published,Blank,"Random assignment.  2 (participants' sex; women & men) x 2 (repeated testing; prettest & posttest) x 5(type of training; dual n-back, visual n-back, auditory n-back, spatial matrix span, and control) repeated measures mixed design"
Stephenson & Halpern 2013 comp 4,Comparison 4 (Spatial span vs P Control),nonverbal reasoning 1,posttest,0.5889,28,26,1,0.5804,0.2742,untreated,adults,small,r,u,Beta-III Matrix reasoning,Blank,other,22.48,22.48,Recruited from a highly selective liberal arts college in California and a state university.,5 days a week  (M-F) for 4 wks  approx. 20 min a day. Pretest & Posttest times ranged 70-90 min  (for each time),"BrainTwister 1.0.2 designed by Buschkuehl, Jaeggi, Kobel, & Perrig (2008). Dual n-back task, Visual n-back, Auditory n-back, or Spatial matrix span, ",published,Blank,"Random assignment.  2 (participants' sex; women & men) x 2 (repeated testing; prettest & posttest) x 5(type of training; dual n-back, visual n-back, auditory n-back, spatial matrix span, and control) repeated measures mixed design"
Stephenson & Halpern 2013 comp 4,Comparison 4 (Spatial span vs P Control),nonverbal reasoning 2,posttest,-0.0739,28,26,1,-0.0728,0.2685,untreated,adults,small,r,u,Cattell ,Blank,other,22.48,22.48,Recruited from a highly selective liberal arts college in California and a state university.,5 days a week  (M-F) for 4 wks  approx. 20 min a day. Pretest & Posttest times ranged 70-90 min  (for each time),"BrainTwister 1.0.2 designed by Buschkuehl, Jaeggi, Kobel, & Perrig (2008). Dual n-back task, Visual n-back, Auditory n-back, or Spatial matrix span, ",published,Blank,"Random assignment.  2 (participants' sex; women & men) x 2 (repeated testing; prettest & posttest) x 5(type of training; dual n-back, visual n-back, auditory n-back, spatial matrix span, and control) repeated measures mixed design"
Stephenson & Halpern 2013 comp 4,Comparison 4 (Spatial span vs P Control),nonverbal reasoning 3,posttest,0.3399,28,26,1,0.3350,0.2703,untreated,adults,small,r,u,Paper folding,Blank,other,22.48,22.48,Recruited from a highly selective liberal arts college in California and a state university.,5 days a week  (M-F) for 4 wks  approx. 20 min a day. Pretest & Posttest times ranged 70-90 min  (for each time),"BrainTwister 1.0.2 designed by Buschkuehl, Jaeggi, Kobel, & Perrig (2008). Dual n-back task, Visual n-back, Auditory n-back, or Spatial matrix span, ",published,Blank,"Random assignment.  2 (participants' sex; women & men) x 2 (repeated testing; prettest & posttest) x 5(type of training; dual n-back, visual n-back, auditory n-back, spatial matrix span, and control) repeated measures mixed design"
Stephenson & Halpern 2013 comp 4,Comparison 4 (Spatial span vs P Control),nonverbal reasoning 4,posttest,0.0872,28,26,1,0.0859,0.2685,untreated,adults,small,r,u,Mental rotation,Blank,other,22.48,22.48,Recruited from a highly selective liberal arts college in California and a state university.,5 days a week  (M-F) for 4 wks  approx. 20 min a day. Pretest & Posttest times ranged 70-90 min  (for each time),"BrainTwister 1.0.2 designed by Buschkuehl, Jaeggi, Kobel, & Perrig (2008). Dual n-back task, Visual n-back, Auditory n-back, or Spatial matrix span, ",published,Blank,"Random assignment.  2 (participants' sex; women & men) x 2 (repeated testing; prettest & posttest) x 5(type of training; dual n-back, visual n-back, auditory n-back, spatial matrix span, and control) repeated measures mixed design"
Stephenson & Halpern 2013 comp 4,Comparison 4 (Spatial span vs P Control),nonverbal reasoning 5,posttest,0.5808,28,26,1,0.5723,0.2740,untreated,adults,small,r,u,Raven advanced,Blank,other,22.48,22.48,Recruited from a highly selective liberal arts college in California and a state university.,5 days a week  (M-F) for 4 wks  approx. 20 min a day. Pretest & Posttest times ranged 70-90 min  (for each time),"BrainTwister 1.0.2 designed by Buschkuehl, Jaeggi, Kobel, & Perrig (2008). Dual n-back task, Visual n-back, Auditory n-back, or Spatial matrix span, ",published,Blank,"Random assignment.  2 (participants' sex; women & men) x 2 (repeated testing; prettest & posttest) x 5(type of training; dual n-back, visual n-back, auditory n-back, spatial matrix span, and control) repeated measures mixed design"
Stephenson & Halpern 2013 comp 4,Comparison 4 (Spatial span vs P Control),nonverbal reasoning 6,posttest,0.4552,28,26,1,0.4486,0.2719,untreated,adults,small,r,u,WASI Matrix reasoning,Blank,other,22.48,22.48,Recruited from a highly selective liberal arts college in California and a state university.,5 days a week  (M-F) for 4 wks  approx. 20 min a day. Pretest & Posttest times ranged 70-90 min  (for each time),"BrainTwister 1.0.2 designed by Buschkuehl, Jaeggi, Kobel, & Perrig (2008). Dual n-back task, Visual n-back, Auditory n-back, or Spatial matrix span, ",published,Blank,"Random assignment.  2 (participants' sex; women & men) x 2 (repeated testing; prettest & posttest) x 5(type of training; dual n-back, visual n-back, auditory n-back, spatial matrix span, and control) repeated measures mixed design"
Stephenson & Halpern 2013 comp 4,Comparison 4 (Spatial span vs P Control),verbal reasoning,posttest,0.0228,28,26,1,0.0225,0.2684,untreated,adults,small,r,u,Extended range vocabulary,Blank,other,22.48,22.48,Recruited from a highly selective liberal arts college in California and a state university.,5 days a week  (M-F) for 4 wks  approx. 20 min a day. Pretest & Posttest times ranged 70-90 min  (for each time),"BrainTwister 1.0.2 designed by Buschkuehl, Jaeggi, Kobel, & Perrig (2008). Dual n-back task, Visual n-back, Auditory n-back, or Spatial matrix span, ",published,Blank,"Random assignment.  2 (participants' sex; women & men) x 2 (repeated testing; prettest & posttest) x 5(type of training; dual n-back, visual n-back, auditory n-back, spatial matrix span, and control) repeated measures mixed design"
"Takeuchi, et al, 2013",Blank,arithmetic,posttest,0.0359,41,20,1,0.0355,0.2693,untreated,adults,large,n,u,simple arithmetic tasks,Blank,other,21.4,20.9,Healthy right-handed university students. Normal vision and no history of neurological or psychiatric illness.,Four weeks (27 days) of training (each day 20-60 min). fMRI & psych. Tests day before and day after training days. ,"Working Memory Training. Computerized developed in-house using Borland C++ programs. 4 tasks. Visuospatial WM task, Auditory Backward Operation Span Task, Dual WM task, Dual N-back task",published,Blank,Pseudo-randomized. Group assignment was determined by when participants started the study.
"Takeuchi, et al, 2013",Blank,arithmetic1,posttest,0.0472,41,20,1,0.0466,0.2693,untreated,adults,large,n,u,complex arithmetic ,Blank,other,21.4,20.9,Healthy right-handed university students. Normal vision and no history of neurological or psychiatric illness.,Four weeks (27 days) of training (each day 20-60 min). fMRI & psych. Tests day before and day after training days. ,"Working Memory Training. Computerized developed in-house using Borland C++ programs. 4 tasks. Visuospatial WM task, Auditory Backward Operation Span Task, Dual WM task, Dual N-back task",published,Blank,Pseudo-randomized. Group assignment was determined by when participants started the study.
"Takeuchi, et al, 2013",Blank,arithmetic2,posttest,0.0959,41,20,1,0.0947,0.2694,untreated,adults,large,n,u,Kyodai SX ,Blank,other,21.4,20.9,Healthy right-handed university students. Normal vision and no history of neurological or psychiatric illness.,Four weeks (27 days) of training (each day 20-60 min). fMRI & psych. Tests day before and day after training days. ,"Working Memory Training. Computerized developed in-house using Borland C++ programs. 4 tasks. Visuospatial WM task, Auditory Backward Operation Span Task, Dual WM task, Dual N-back task",published,Blank,Pseudo-randomized. Group assignment was determined by when participants started the study.
"Takeuchi, et al, 2013",Blank,nBOMAT,posttest,-0.3168,41,20,1,-0.3128,0.2707,untreated,adults,large,n,u,BOMAT,Blank,other,21.4,20.9,Healthy right-handed university students. Normal vision and no history of neurological or psychiatric illness.,Four weeks (27 days) of training (each day 20-60 min). fMRI & psych. Tests day before and day after training days. ,"Working Memory Training. Computerized developed in-house using Borland C++ programs. 4 tasks. Visuospatial WM task, Auditory Backward Operation Span Task, Dual WM task, Dual N-back task",published,Blank,Pseudo-randomized. Group assignment was determined by when participants started the study.
"Takeuchi, et al, 2013",Blank,nRAPM,posttest,0.4678,41,20,1,0.4618,0.2725,untreated,adults,large,n,u,RAPM,Blank,other,21.4,20.9,Healthy right-handed university students. Normal vision and no history of neurological or psychiatric illness.,Four weeks (27 days) of training (each day 20-60 min). fMRI & psych. Tests day before and day after training days. ,"Working Memory Training. Computerized developed in-house using Borland C++ programs. 4 tasks. Visuospatial WM task, Auditory Backward Operation Span Task, Dual WM task, Dual N-back task",published,Blank,Pseudo-randomized. Group assignment was determined by when participants started the study.
"Takeuchi, et al, 2013",Blank,verbal working memory,posttest,1.3034,41,20,1,1.2868,0.2934,untreated,adults,large,n,u,digit span forward and backward ,Blank,other,21.4,20.9,Healthy right-handed university students. Normal vision and no history of neurological or psychiatric illness.,Four weeks (27 days) of training (each day 20-60 min). fMRI & psych. Tests day before and day after training days. ,"Working Memory Training. Computerized developed in-house using Borland C++ programs. 4 tasks. Visuospatial WM task, Auditory Backward Operation Span Task, Dual WM task, Dual N-back task",published,Blank,Pseudo-randomized. Group assignment was determined by when participants started the study.
"Takeuchi, et al, 2013",Blank,visual working memory,posttest,0.5089,41,20,1,0.5024,0.2731,untreated,adults,large,n,u,"4 by 4 grids, backwards and forward. ",Blank,other,21.4,20.9,Healthy right-handed university students. Normal vision and no history of neurological or psychiatric illness.,Four weeks (27 days) of training (each day 20-60 min). fMRI & psych. Tests day before and day after training days. ,"Working Memory Training. Computerized developed in-house using Borland C++ programs. 4 tasks. Visuospatial WM task, Auditory Backward Operation Span Task, Dual WM task, Dual N-back task",published,Blank,Pseudo-randomized. Group assignment was determined by when participants started the study.
"Thompson,  et al. 2013 comp 1",Comparison 1 (n-back vs control),crit,posttest,2.8238,20,19,1,2.7662,0.4434,untreated,adults,large,n,u,n back,Blank,n back,23.1,21.2,"Recruited through web ad, flyers, and email to Northeastern  & Tufts college mailing lists. Must be 18-45, right handed, in good health, and not taking any drugs","After recruitment: 6 hrs (approx) behavioral testing (spread across 3 days) and 2 hrs of structural and fMRI. 20 sessions of training. One session a day, five times a week, for avg of 40 min. Then posttest (avg # of days between last training session & post-test was 4.3 with a range 0-14 days). Approx 6mo later training groups for follow up(avg 187 days with range 122-252) ",Adaptive dual n-back followed Jaeggi et al 2008.  Multiple object tracking followed genearl techniques from Alvarez & Franconeri (2007),published,Blank,"Matched 2 training groups based on age, gender, & score on RAPM. Then each member of that group was randomly assigned to a training group. No contact control recruited seperately- match by gender and initial RAPM (not age, this group was slightly older) Pretest-training-posttest-follow up 6 mo later."
"Thompson,  et al. 2013 comp 1",Comparison 1 (n-back vs control),decoding,posttest,0.2499,20,18,1,0.2446,0.3193,untreated,adults,large,n,u,nelson-denny reading rate,Blank,n back,23.1,21.2,"Recruited through web ad, flyers, and email to Northeastern  & Tufts college mailing lists. Must be 18-45, right handed, in good health, and not taking any drugs","After recruitment: 6 hrs (approx) behavioral testing (spread across 3 days) and 2 hrs of structural and fMRI. 20 sessions of training. One session a day, five times a week, for avg of 40 min. Then posttest (avg # of days between last training session & post-test was 4.3 with a range 0-14 days). Approx 6mo later training groups for follow up(avg 187 days with range 122-252) ",Adaptive dual n-back followed Jaeggi et al 2008.  Multiple object tracking followed genearl techniques from Alvarez & Franconeri (2007),published,Blank,"Matched 2 training groups based on age, gender, & score on RAPM. Then each member of that group was randomly assigned to a training group. No contact control recruited seperately- match by gender and initial RAPM (not age, this group was slightly older) Pretest-training-posttest-follow up 6 mo later."
"Thompson,  et al. 2013 comp 1",Comparison 1 (n-back vs control),nRAPM,posttest,0.2360,20,19,1,0.2311,0.3149,untreated,adults,large,n,u,RAPM,Blank,n back,23.1,21.2,"Recruited through web ad, flyers, and email to Northeastern  & Tufts college mailing lists. Must be 18-45, right handed, in good health, and not taking any drugs","After recruitment: 6 hrs (approx) behavioral testing (spread across 3 days) and 2 hrs of structural and fMRI. 20 sessions of training. One session a day, five times a week, for avg of 40 min. Then posttest (avg # of days between last training session & post-test was 4.3 with a range 0-14 days). Approx 6mo later training groups for follow up(avg 187 days with range 122-252) ",Adaptive dual n-back followed Jaeggi et al 2008.  Multiple object tracking followed genearl techniques from Alvarez & Franconeri (2007),published,Blank,"Matched 2 training groups based on age, gender, & score on RAPM. Then each member of that group was randomly assigned to a training group. No contact control recruited seperately- match by gender and initial RAPM (not age, this group was slightly older) Pretest-training-posttest-follow up 6 mo later."
